671,50,1407,-610,-1410,-132,538,-507,833,-2179
664,-194,1291,482,1752,-296,-1544,1550,-1198,-158
336,-1219,655,-446,130,-2024,-2017,1252,176,181
131,573,492,2128,-1791,502,-697,72,1460,1597
-1792,-1220,-2119,422,2128,397,-1270,2303,-178,1240
1660,-1920,440,1097,-1461,1417,-1026,-331,-198,244
-1023,-1424,842,2799,408,-2646,82,1904,1409,899
887,-1930,-194,143,-839,144,62,1560,-2028,1685
1063,-1728,143,-1424,-937,457,981,-1294,1981,718
-793,375,1195,1995,-1823,1904,-2044,1239,14,309
-341,1114,696,465,1639,-62,-651,504,-85,872
922,-359,-2193,-613,732,-371,118,209,1480,1700
-634,171,1816,-2219,651,-1857,1863,-1837,1599,745
1504,-1676,8,-7,1513,-1135,-993,538,-1426,-1358
314,914,2456,-470,-1248,716,-670,988,2,-698
159,-742,284,-1048,-1706,221,-1157,-682,-295,753
1133,-307,-1451,728,1359,1008,-1025,1271,-270,227
1283,226,1130,1480,160,-107,1934,147,-35,484
1015,2496,1827,1361,2046,-3114,-1452,-949,-679,-534
-802,-1876,-681,-1531,1199,43,-6,-28,-2352,20
-1536,1929,889,-1296,577,1059,-993,1954,-1758,-1395
398,-1350,-958,-1245,162,-1421,419,-355,-84,-161
